Link,Forked from,Search Term,Location,Line Numbers Containing Keywords In File,Text that implies misconfiguration/(not a misconfig) (Separated by Pipe if more than one found),Issue or commit message implies a misconfig or not a misconfig,Issue or commit score,MIFOS ISSUE TYPE,commit message contains words such as bug/fix,commit message refers to github issue?,github issue implies misconfig?,commit message refers to non-github issue?,non-github issue implies misconfig?,adds annotation check?,removes annotation check?,adds one or more conditions in annotation?,removes one or more conditions in annotations?,changes method signature and associated annotation?,Changes one or more parameters in annotation?,Corrects typo errors?,"Changes from @Secured to
@PreAuthorize",Conversion between PreAuth and PostAuth,,Commit change score,total of context score and commit change score,Classification,Final Score,Out of,Probability of Misconfig,CHANGE TYPE,COMMENT
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,marker,@PreAuthorize,ISampleService.java,7,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,10,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,13,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,16,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,19,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,marker,@PreAuthorize,ISampleService.java,7,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,10,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,13,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,16,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,19,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,marker,@PreAuthorize,ISampleService.java,7,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,10,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,13,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,16,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,19,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,marker,@PreAuthorize,ISampleService.java,7,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,10,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,13,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,16,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,19,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,marker,@PreAuthorize,SampleServiceImpl.java,28,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,0,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,marker,@PreAuthorize,SampleServiceImpl.java,9,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,SampleServiceImpl.java,15,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,SampleServiceImpl.java,21,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,SampleServiceImpl.java,27,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,SampleServiceImpl.java,33,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,marker,@PreAuthorize,SampleServiceImpl.java,24,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,marker,@PreAuthorize,ISampleService.java,7,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,10,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,13,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
https://github.com/freemindcafe/samples-spring/commit/1532f3b9cf6148674e6c3354ed0484db4e1cefa8,,@PreAuthorize,ISampleService.java,18,adding the sample for security @PreAuthorize annotation,3.5,-2,,NO,NO,NO,NO,NO,6.1,NO,NO,NO,NO,NO,NO,,,6.1,-2,-4,,0,4,,,
,,,,,,,,,,,,,,,,,,,,NO,,,0,0,0,,,,,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,marker,@PreAuthorize,RoleDAO.java,7,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,RoleDAO.java,12,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,RoleDAO.java,15,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,RoleDAO.java,18,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,RoleDAO.java,21,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,marker,@PreAuthorize,UserDAO.java,10,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,UserDAO.java,13,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,UserDAO.java,16,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,UserDAO.java,19,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,UserDAO.java,22,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,UserDAO.java,25,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
https://github.com/TuukkaP/springtyovuoro/commit/9667c264e0d4c4b8c60ef775e47a5a6df51bc7ce,,@PreAuthorize,UserDAO.java,28,Spring security ja roolitukset,3.7,0,,NO,NO,NO,NO,NO,NO,7.2,NO,NO,NO,NO,NO,,,7.2,-2,-2,,0,4,0,,
